l1 entry price,l2 entry price,total investment,time,,l1,,,,,l2,,,,,total close,,overall,target hitt,stoploss hitt,individual,l1 tgt,l1 st,l2 tgt,l2st
,,,11:35:00,,3.2,3.45,3.15,3.3,,267.75,271.1,262.7,264.35,,269.05,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,11:36:00,,3.25,3.3,3,3.05,,264.35,276.3,264.35,275.45,,268.8,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,11:37:00,,3.05,3.05,2.9,2.9,,275.45,283.9,275.45,283.9,,268.65,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:38:00,,2.95,2.95,2.75,2.85,,283.9,288.1,283.3,285.25,,268.6,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:39:00,,2.8,2.9,2.8,2.9,,285.25,286,279.9,284,,268.65,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:40:00,,2.9,2.9,2.8,2.8,,284,289.1,284,287.1,,268.55,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:41:00,,2.8,2.85,2.75,2.8,,287.1,287.1,286.45,286.7,,268.55,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:42:00,,2.8,2.8,2.75,2.75,,286.7,286.7,284.75,286.05,,268.5,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:43:00,,2.8,2.8,2.7,2.75,,286.05,290,286.05,289.8,,268.5,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:44:00,,2.75,2.75,2.7,2.75,,289.8,290.5,288.75,288.75,,268.5,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:45:00,,2.75,2.75,2.65,2.65,,288.75,291.95,288.75,295.6,,268.4,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:46:00,,2.6,2.65,2.6,2.65,,296.3,298.55,294.75,294.75,,268.4,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:47:00,,2.6,2.8,2.6,2.7,,294.75,296.1,294.75,296.1,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:48:00,,2.75,2.8,2.7,2.8,,294.7,296.7,294.7,296.7,,268.55,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:49:00,,2.8,2.95,2.8,2.9,,296.7,296.7,287.8,287.8,,268.65,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:50:00,,2.9,2.95,2.8,2.8,,287.8,292.85,287.8,292.75,,268.55,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:51:00,,2.8,2.85,2.75,2.85,,292.75,297.3,292.75,293.15,,268.6,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:52:00,,2.85,2.85,2.75,2.8,,293.15,294.95,293.15,294.95,,268.55,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:53:00,,2.8,2.8,2.6,2.65,,294.95,305,294.95,305,,268.4,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:54:00,,2.6,2.65,2.6,2.65,,306,307.65,300.8,300.8,,268.4,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:55:00,,2.65,2.7,2.6,2.65,,300.8,308.4,300.8,306.35,,268.4,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:56:00,,2.7,2.7,2.6,2.6,,306.35,306.35,303.5,304.55,,268.35,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
